,Formation,1,2,3,4,5,6,7,8,9,10,11
14,352,"[553.75, 418.5]","[332.5, 397.5]","[328.5, 319.5]","[479.25, 305.0]","[756.75, 251.25]","[331.25, 243.0]","[568.5, 240.0]","[344.5, 208.25]","[452.25, 204.0]","[219.25, 83.5]","[553.25, 74.5]"
15,352,"[539.0, 416.75]","[303.75, 396.25]","[309.25, 339.75]","[454.0, 300.5]","[750.25, 251.0]","[322.75, 248.75]","[549.75, 237.0]","[426.25, 217.5]","[314.5, 213.0]","[233.75, 83.5]","[539.0, 77.0]"
16,352,"[524.75, 415.75]","[281.0, 399.75]","[291.75, 350.0]","[428.25, 300.25]","[319.0, 260.0]","[750.25, 250.5]","[532.25, 235.75]","[394.25, 219.5]","[284.25, 204.75]","[236.75, 85.25]","[524.0, 79.0]"
17,352,"[507.25, 417.5]","[273.75, 390.0]","[290.25, 336.75]","[407.25, 304.25]","[312.0, 268.5]","[748.5, 251.0]","[517.5, 241.25]","[365.0, 218.0]","[254.0, 201.0]","[244.5, 84.25]","[507.25, 80.0]"
18,352,"[434.5, 457.75]","[200.25, 400.25]","[326.5, 337.75]","[254.0, 287.25]","[459.0, 282.75]","[223.75, 282.75]","[720.0, 251.25]","[347.25, 220.0]","[129.5, 205.75]","[423.5, 101.25]","[219.25, 76.0]"
19,352,"[416.5, 471.25]","[137.0, 401.5]","[293.25, 370.5]","[440.75, 293.0]","[156.25, 287.25]","[198.5, 274.5]","[703.75, 250.25]","[296.0, 224.75]","[65.0, 212.5]","[367.25, 105.75]","[195.5, 93.0]"
20,352,"[419.5, 470.0]","[84.0, 413.0]","[173.5, 332.5]","[121.0, 327.75]","[393.5, 283.0]","[698.25, 251.0]","[221.0, 250.0]","[111.75, 238.0]","[60.25, 237.25]","[149.25, 121.0]","[287.5, 112.75]"
21,352,"[421.0, 465.25]","[109.5, 431.5]","[131.25, 318.75]","[394.75, 293.0]","[130.75, 282.5]","[226.75, 262.0]","[698.25, 251.0]","[134.0, 233.75]","[88.25, 189.75]","[133.0, 116.75]","[345.75, 108.75]"
22,352,"[421.0, 464.25]","[109.5, 429.5]","[107.75, 309.75]","[403.25, 285.25]","[133.0, 269.0]","[234.25, 257.5]","[698.25, 251.0]","[134.0, 228.5]","[95.75, 175.0]","[130.75, 116.25]","[366.5, 104.0]"
23,352,"[423.0, 446.75]","[124.0, 435.75]","[72.0, 316.5]","[155.25, 280.0]","[156.5, 277.25]","[240.75, 279.0]","[412.5, 260.25]","[702.5, 250.75]","[101.0, 141.0]","[142.25, 122.25]","[396.75, 84.25]"
24,352,"[132.25, 439.0]","[424.5, 438.0]","[84.75, 321.5]","[144.75, 289.25]","[235.5, 274.75]","[417.25, 253.75]","[704.75, 250.5]","[130.25, 244.75]","[107.75, 123.5]","[137.5, 117.25]","[405.75, 82.0]"
25,352,"[204.25, 408.75]","[386.5, 405.0]","[211.5, 316.25]","[164.5, 297.25]","[698.25, 250.5]","[423.75, 245.5]","[4.0, 214.0]","[136.25, 212.25]","[107.25, 154.5]","[170.75, 97.25]","[364.0, 96.75]"
26,352,"[406.0, 379.0]","[277.75, 376.25]","[174.25, 343.5]","[273.0, 318.5]","[174.25, 276.25]","[698.25, 250.5]","[429.0, 223.75]","[204.75, 194.25]","[82.25, 191.25]","[380.25, 91.25]","[220.0, 88.25]"
27,352,"[412.25, 380.5]","[295.25, 371.75]","[193.5, 352.75]","[298.75, 314.25]","[179.25, 264.0]","[704.75, 250.5]","[436.25, 220.0]","[225.5, 193.5]","[102.25, 187.75]","[220.25, 103.0]","[391.25, 80.25]"
28,352,"[414.25, 373.75]","[316.0, 362.5]","[214.0, 356.75]","[314.75, 300.25]","[180.25, 260.0]","[704.75, 250.5]","[433.75, 205.75]","[240.0, 190.25]","[131.0, 184.5]","[220.0, 120.0]","[404.75, 72.0]"
29,352,"[417.0, 368.5]","[234.5, 360.75]","[337.75, 353.0]","[321.75, 290.25]","[186.25, 257.25]","[712.5, 250.5]","[428.25, 192.0]","[247.25, 188.5]","[163.75, 188.25]","[220.25, 128.25]","[414.5, 73.0]"
30,352,"[254.5, 363.75]","[418.5, 362.75]","[358.0, 343.25]","[336.75, 286.0]","[197.5, 257.0]","[719.75, 251.0]","[186.25, 193.25]","[255.75, 186.0]","[416.0, 180.75]","[232.75, 131.75]","[417.5, 73.25]"
31,352,"[276.75, 366.5]","[427.0, 353.25]","[379.75, 337.25]","[357.5, 276.0]","[207.25, 255.25]","[726.0, 250.75]","[208.5, 193.75]","[273.25, 185.75]","[414.5, 170.5]","[252.0, 132.75]","[422.75, 75.75]"
32,352,"[296.25, 368.0]","[433.25, 348.0]","[399.5, 330.5]","[381.0, 269.5]","[222.0, 254.25]","[745.5, 251.5]","[217.0, 185.5]","[295.5, 184.0]","[399.0, 155.5]","[261.75, 123.5]","[427.75, 80.25]"
33,352,"[352.5, 372.75]","[458.5, 333.0]","[465.25, 299.0]","[248.5, 255.5]","[771.5, 250.5]","[462.5, 233.25]","[386.5, 185.0]","[238.75, 167.25]","[420.25, 140.0]","[317.5, 91.25]","[436.75, 38.0]"
34,352,"[362.5, 371.75]","[472.25, 331.5]","[479.25, 280.0]","[252.5, 259.5]","[771.25, 250.25]","[477.0, 225.25]","[398.5, 178.5]","[244.25, 163.25]","[448.25, 149.5]","[329.5, 79.5]","[419.5, 40.0]"
35,352,"[369.75, 372.5]","[479.0, 331.25]","[260.75, 268.0]","[490.75, 266.0]","[755.25, 250.0]","[479.75, 223.75]","[407.5, 166.25]","[470.75, 159.75]","[256.0, 158.0]","[332.75, 63.0]","[402.75, 46.0]"
36,352,"[371.75, 369.0]","[487.25, 332.25]","[267.75, 272.75]","[502.0, 258.25]","[750.25, 250.5]","[483.5, 225.5]","[489.75, 158.0]","[420.0, 150.0]","[274.0, 150.25]","[348.5, 54.5]","[400.75, 49.25]"
37,352,"[372.5, 362.75]","[495.5, 332.75]","[274.5, 274.75]","[516.75, 255.5]","[747.5, 250.25]","[480.0, 231.75]","[506.5, 152.5]","[441.0, 142.5]","[291.0, 142.5]","[408.75, 51.25]","[361.5, 41.0]"
38,352,"[371.75, 356.25]","[502.75, 333.0]","[280.75, 278.75]","[537.5, 254.25]","[740.25, 251.0]","[472.75, 235.75]","[524.5, 140.25]","[449.0, 136.0]","[281.75, 136.0]","[422.5, 58.0]","[355.0, 38.5]"
39,352,"[375.0, 357.5]","[509.5, 333.0]","[284.5, 283.5]","[734.75, 250.75]","[541.25, 242.75]","[467.25, 241.0]","[294.0, 137.75]","[438.0, 136.75]","[533.5, 130.5]","[440.0, 67.75]","[359.25, 44.5]"
40,352,"[379.75, 360.75]","[515.75, 335.75]","[288.0, 287.0]","[737.75, 251.0]","[462.75, 245.25]","[540.25, 228.0]","[318.0, 139.5]","[430.0, 138.0]","[536.25, 119.25]","[461.0, 79.25]","[361.0, 48.0]"
41,352,"[387.25, 353.0]","[517.5, 347.5]","[300.75, 286.75]","[751.5, 250.5]","[472.5, 246.5]","[547.0, 228.0]","[433.5, 128.5]","[330.75, 122.0]","[540.5, 106.5]","[468.25, 89.75]","[353.75, 46.75]"
42,352,"[521.5, 404.0]","[271.75, 334.75]","[729.0, 251.5]","[516.25, 233.0]","[173.0, 233.0]","[423.0, 227.5]","[353.75, 134.75]","[489.0, 128.25]","[282.0, 87.25]","[350.5, 79.0]","[520.5, 53.25]"
43,352,"[365.0, 349.25]","[170.25, 320.75]","[697.5, 252.25]","[326.25, 234.75]","[82.0, 224.5]","[146.5, 225.25]","[425.75, 217.0]","[277.75, 150.75]","[260.25, 120.0]","[406.25, 106.75]","[161.75, 95.25]"
44,352,"[358.25, 371.5]","[222.75, 341.75]","[697.5, 252.25]","[156.75, 243.5]","[362.25, 239.5]","[73.0, 228.5]","[424.75, 220.25]","[285.0, 179.25]","[389.5, 148.0]","[278.25, 129.0]","[211.25, 93.5]"
45,352,"[358.5, 384.0]","[250.0, 351.5]","[159.5, 262.75]","[697.5, 252.25]","[377.5, 247.75]","[82.0, 222.75]","[425.0, 221.0]","[281.25, 193.25]","[362.25, 152.5]","[294.5, 134.5]","[233.5, 93.25]"
46,352,"[407.5, 447.25]","[337.0, 356.75]","[235.75, 355.25]","[231.5, 356.25]","[427.5, 352.25]","[498.75, 278.5]","[731.5, 250.75]","[404.75, 250.5]","[184.0, 216.75]","[463.75, 142.0]","[316.0, 109.0]"
47,352,"[434.0, 455.0]","[224.25, 382.25]","[377.5, 369.0]","[251.5, 306.5]","[458.5, 294.5]","[298.25, 281.5]","[724.5, 251.0]","[320.5, 231.25]","[178.75, 175.5]","[187.75, 132.25]","[437.0, 117.5]"
48,352,"[432.0, 454.25]","[216.0, 377.5]","[354.0, 375.25]","[451.0, 297.0]","[226.5, 293.75]","[269.25, 286.75]","[727.75, 251.0]","[301.75, 230.0]","[181.5, 180.0]","[154.0, 138.5]","[434.5, 116.5]"
49,352,"[429.75, 455.75]","[97.0, 386.0]","[278.5, 367.75]","[183.25, 304.0]","[3.75, 291.25]","[426.0, 284.25]","[704.5, 250.25]","[301.75, 241.75]","[119.75, 241.0]","[125.5, 148.25]","[431.0, 112.0]"
50,352,"[425.25, 454.0]","[64.25, 391.0]","[257.5, 384.75]","[148.75, 330.75]","[164.0, 300.0]","[425.75, 285.0]","[697.75, 252.25]","[95.0, 240.0]","[301.0, 237.0]","[119.25, 156.5]","[431.0, 112.0]"
51,352,"[425.25, 454.0]","[232.5, 395.5]","[46.25, 396.5]","[4.0, 293.25]","[425.75, 285.0]","[171.5, 284.0]","[697.75, 252.25]","[77.5, 236.0]","[294.25, 231.5]","[113.5, 168.25]","[431.0, 112.0]"
52,352,"[433.0, 349.25]","[518.5, 348.5]","[603.0, 340.0]","[519.75, 286.5]","[604.5, 280.75]","[814.5, 251.0]","[605.5, 221.0]","[518.25, 216.0]","[604.75, 162.25]","[520.25, 153.0]","[433.25, 153.0]"
53,352,"[433.5, 349.75]","[518.5, 348.5]","[603.0, 340.0]","[520.0, 286.25]","[604.5, 281.0]","[814.5, 251.0]","[605.25, 220.75]","[518.25, 216.0]","[604.75, 162.25]","[520.25, 153.0]","[433.25, 153.0]"
54,352,"[518.75, 349.5]","[433.0, 350.25]","[602.75, 339.75]","[519.25, 286.0]","[604.75, 280.25]","[814.75, 251.0]","[604.5, 222.0]","[518.5, 215.5]","[605.75, 162.25]","[520.25, 153.0]","[433.25, 151.0]"
55,352,"[519.25, 350.5]","[433.25, 350.0]","[603.25, 339.5]","[519.25, 285.0]","[604.25, 279.75]","[815.75, 253.25]","[603.25, 222.25]","[519.25, 216.25]","[604.25, 162.5]","[520.5, 152.0]","[432.5, 150.25]"
56,352,"[521.25, 351.5]","[432.25, 350.5]","[603.75, 339.75]","[519.75, 285.25]","[602.75, 280.25]","[816.5, 253.75]","[601.75, 220.5]","[520.75, 217.25]","[602.25, 161.0]","[521.0, 152.75]","[433.0, 149.0]"
57,352,"[522.25, 353.0]","[433.0, 350.75]","[605.25, 340.0]","[519.75, 285.75]","[601.5, 279.75]","[814.75, 254.75]","[520.0, 218.25]","[601.75, 218.75]","[599.75, 158.5]","[521.0, 152.0]","[433.5, 148.75]"
58,352,"[521.0, 357.5]","[432.0, 348.75]","[601.0, 340.5]","[515.25, 285.75]","[598.0, 277.0]","[800.5, 254.5]","[598.5, 221.5]","[513.5, 220.5]","[595.75, 158.75]","[434.25, 149.25]","[520.75, 148.25]"
59,352,"[513.75, 367.0]","[593.75, 343.0]","[427.25, 332.25]","[508.75, 285.75]","[592.5, 276.25]","[771.5, 252.0]","[498.5, 226.25]","[592.0, 223.75]","[588.0, 157.75]","[423.25, 155.25]","[517.75, 143.5]"
60,352,"[498.25, 370.75]","[586.25, 345.5]","[426.0, 308.5]","[501.25, 287.75]","[585.25, 279.0]","[749.5, 251.0]","[489.75, 238.75]","[587.25, 227.5]","[416.5, 162.25]","[581.5, 160.0]","[512.75, 138.75]"
61,352,"[484.75, 376.25]","[580.25, 349.75]","[411.75, 295.25]","[492.5, 292.25]","[580.25, 285.0]","[749.5, 251.0]","[483.5, 246.5]","[582.5, 232.75]","[408.0, 167.25]","[576.25, 165.0]","[505.75, 137.25]"
62,352,"[479.0, 380.25]","[574.75, 353.0]","[487.25, 293.0]","[576.5, 286.5]","[401.75, 277.0]","[487.5, 252.0]","[757.0, 251.25]","[578.0, 234.5]","[396.75, 172.0]","[571.5, 166.75]","[501.75, 132.25]"
63,352,"[475.5, 382.75]","[569.25, 348.75]","[480.75, 290.25]","[572.25, 281.25]","[493.75, 253.25]","[757.0, 251.25]","[401.0, 251.5]","[573.25, 230.5]","[389.0, 174.5]","[566.75, 162.5]","[494.0, 126.5]"
64,352,"[475.0, 382.0]","[564.5, 341.0]","[480.25, 285.25]","[570.25, 273.5]","[752.0, 251.0]","[499.25, 250.75]","[392.5, 231.0]","[569.5, 221.75]","[381.25, 174.0]","[562.5, 153.5]","[489.0, 119.0]"
65,352,"[510.25, 378.25]","[547.5, 314.5]","[468.0, 254.75]","[766.0, 251.75]","[364.25, 243.0]","[553.25, 239.5]","[501.75, 225.25]","[553.75, 187.5]","[346.25, 136.5]","[543.0, 101.25]","[455.75, 65.5]"
66,352,"[522.5, 379.75]","[550.75, 312.0]","[772.0, 251.0]","[365.5, 250.75]","[473.0, 249.25]","[554.75, 227.25]","[493.25, 212.0]","[554.0, 183.5]","[348.25, 131.0]","[536.75, 80.75]","[440.5, 70.0]"
67,352,"[532.0, 381.75]","[551.5, 311.75]","[375.75, 259.0]","[772.0, 251.0]","[474.75, 248.0]","[557.0, 224.5]","[479.75, 195.75]","[554.0, 183.5]","[357.25, 132.0]","[440.5, 92.25]","[539.5, 71.0]"
68,352,"[539.5, 384.0]","[552.75, 310.75]","[394.0, 269.0]","[774.75, 252.25]","[483.0, 240.75]","[562.5, 228.25]","[475.75, 191.5]","[555.75, 183.0]","[377.75, 139.0]","[452.75, 115.0]","[560.75, 72.25]"
69,352,"[546.5, 387.75]","[564.0, 310.5]","[409.0, 279.0]","[784.5, 236.5]","[580.0, 234.75]","[497.5, 231.75]","[568.75, 183.25]","[482.25, 182.5]","[461.0, 136.0]","[386.75, 135.25]","[586.0, 78.75]"
70,352,"[576.75, 397.25]","[602.0, 310.75]","[414.75, 288.5]","[520.5, 245.25]","[788.0, 235.75]","[605.0, 230.25]","[458.25, 203.0]","[604.75, 190.75]","[495.75, 179.25]","[440.75, 151.5]","[602.25, 93.0]"
71,352,"[605.5, 389.75]","[598.5, 318.75]","[417.0, 282.75]","[815.0, 248.0]","[627.0, 241.75]","[554.25, 228.75]","[626.25, 180.0]","[505.75, 143.0]","[592.0, 137.0]","[614.25, 111.0]","[504.25, 110.0]"
72,352,"[606.5, 390.25]","[592.5, 319.0]","[418.25, 282.25]","[636.0, 254.0]","[815.25, 247.75]","[554.25, 224.75]","[637.75, 189.25]","[521.5, 158.75]","[592.75, 142.5]","[638.5, 122.5]","[506.75, 104.0]"
73,352,"[610.0, 392.75]","[592.5, 317.0]","[424.0, 284.0]","[653.5, 264.5]","[814.75, 249.25]","[555.5, 233.75]","[659.25, 189.75]","[524.25, 180.25]","[586.25, 143.0]","[663.75, 128.25]","[511.25, 104.75]"
74,352,"[619.5, 397.5]","[587.0, 316.75]","[427.25, 287.75]","[669.75, 272.25]","[815.0, 254.0]","[557.0, 249.75]","[525.5, 207.5]","[671.5, 200.0]","[582.25, 149.25]","[685.25, 134.75]","[520.25, 106.0]"
75,352,"[649.5, 416.75]","[618.75, 354.5]","[585.75, 344.5]","[683.5, 323.0]","[447.75, 322.25]","[825.5, 273.0]","[683.25, 272.5]","[512.5, 250.0]","[529.75, 258.75]","[608.75, 241.25]","[682.0, 152.5]"
76,352,"[693.25, 412.5]","[466.5, 345.0]","[725.75, 342.0]","[638.0, 326.5]","[703.25, 311.0]","[760.5, 306.75]","[825.25, 272.5]","[477.0, 240.75]","[664.75, 220.5]","[586.25, 125.0]","[736.25, 117.0]"
77,352,"[679.5, 412.75]","[466.75, 347.5]","[730.0, 339.75]","[685.0, 322.0]","[769.25, 316.75]","[646.5, 307.5]","[825.25, 272.5]","[466.5, 236.0]","[644.0, 218.75]","[563.5, 125.0]","[728.75, 113.75]"
78,352,"[682.25, 456.25]","[585.75, 407.25]","[604.25, 358.75]","[470.5, 347.75]","[734.75, 329.25]","[556.5, 290.0]","[821.25, 269.5]","[451.75, 233.75]","[602.0, 226.25]","[714.0, 118.5]","[459.75, 80.25]"
79,352,"[681.5, 441.0]","[554.75, 410.5]","[470.0, 353.25]","[609.0, 346.0]","[720.75, 334.5]","[557.75, 303.75]","[819.5, 268.0]","[600.75, 232.25]","[460.25, 228.5]","[709.75, 133.75]","[472.25, 86.25]"
80,352,"[680.0, 437.0]","[552.25, 413.25]","[469.75, 362.25]","[620.75, 344.75]","[713.5, 331.5]","[545.5, 317.75]","[818.25, 264.75]","[589.0, 230.5]","[461.75, 230.0]","[693.0, 135.25]","[472.0, 100.75]"
81,352,"[679.75, 445.0]","[561.5, 406.75]","[487.75, 367.0]","[634.5, 340.5]","[531.5, 332.0]","[707.0, 323.75]","[818.25, 264.75]","[451.5, 237.0]","[576.0, 226.25]","[674.75, 125.25]","[467.5, 118.25]"
82,352,"[673.75, 453.75]","[567.5, 395.75]","[503.75, 384.0]","[516.5, 349.5]","[654.0, 333.5]","[698.0, 317.25]","[821.25, 269.75]","[439.25, 242.5]","[577.0, 222.0]","[466.5, 138.0]","[658.75, 104.5]"
83,352,"[664.5, 450.5]","[566.0, 419.25]","[620.0, 390.25]","[538.75, 362.75]","[660.75, 319.75]","[670.25, 287.0]","[819.0, 277.75]","[438.25, 236.75]","[588.5, 215.0]","[474.0, 129.0]","[660.25, 80.0]"
84,352,"[669.25, 432.25]","[587.5, 414.75]","[641.75, 391.0]","[542.25, 369.0]","[663.75, 319.75]","[799.75, 296.25]","[677.25, 281.25]","[443.25, 233.0]","[602.75, 212.5]","[489.0, 130.25]","[666.75, 95.25]"
85,352,"[598.25, 443.25]","[708.25, 430.5]","[636.25, 336.5]","[463.25, 337.25]","[532.5, 285.25]","[726.0, 268.0]","[753.75, 244.0]","[430.75, 209.5]","[622.5, 186.75]","[706.0, 110.75]","[555.75, 55.25]"
86,352,"[575.75, 442.5]","[705.0, 418.75]","[644.25, 330.25]","[450.5, 323.0]","[724.5, 279.75]","[529.5, 273.75]","[748.75, 248.75]","[429.75, 205.75]","[611.0, 184.5]","[703.25, 120.5]","[543.75, 61.0]"
87,352,"[554.75, 441.0]","[715.25, 401.0]","[456.75, 327.75]","[653.0, 320.75]","[736.25, 287.75]","[535.5, 275.25]","[753.0, 251.75]","[433.5, 204.0]","[613.5, 187.75]","[706.75, 129.0]","[535.0, 71.25]"
88,352,"[534.75, 440.0]","[719.75, 377.75]","[471.0, 342.25]","[657.25, 320.0]","[729.5, 301.5]","[544.25, 288.75]","[766.0, 258.75]","[439.25, 202.5]","[622.25, 199.5]","[715.0, 140.5]","[552.75, 77.5]"
89,352,"[486.25, 435.25]","[498.5, 360.0]","[557.75, 315.0]","[689.75, 304.75]","[615.0, 298.25]","[699.75, 266.25]","[815.5, 251.5]","[486.0, 214.75]","[605.25, 212.75]","[698.0, 156.75]","[550.0, 108.5]"
90,352,"[508.25, 424.75]","[493.0, 356.75]","[557.5, 325.75]","[682.0, 290.5]","[600.5, 285.5]","[815.5, 251.5]","[688.75, 249.25]","[599.25, 216.5]","[484.75, 214.5]","[690.0, 153.25]","[545.75, 112.75]"
91,352,"[563.25, 391.5]","[481.5, 349.0]","[570.0, 335.75]","[677.25, 292.5]","[582.75, 262.75]","[815.75, 243.25]","[680.5, 236.5]","[592.0, 217.0]","[480.0, 202.5]","[675.75, 141.25]","[547.25, 116.25]"
92,352,"[591.0, 374.75]","[479.75, 343.25]","[591.5, 329.0]","[678.25, 286.75]","[592.25, 258.75]","[815.75, 243.25]","[682.75, 222.25]","[612.75, 217.25]","[480.75, 196.25]","[683.0, 129.5]","[554.0, 112.25]"
93,352,"[623.5, 359.5]","[477.75, 336.75]","[611.0, 323.5]","[680.25, 272.0]","[598.75, 255.0]","[816.25, 240.75]","[644.0, 216.25]","[691.5, 199.75]","[481.0, 190.5]","[691.0, 129.25]","[552.75, 106.75]"
94,352,"[652.5, 349.25]","[478.0, 331.0]","[622.25, 321.0]","[692.5, 258.5]","[597.5, 252.75]","[817.75, 242.0]","[648.25, 200.75]","[711.75, 190.5]","[482.5, 184.5]","[711.75, 132.5]","[550.25, 101.5]"
95,352,"[418.75, 391.25]","[223.75, 376.75]","[318.75, 343.75]","[308.75, 278.75]","[428.5, 254.0]","[343.5, 250.75]","[12.25, 250.75]","[217.75, 248.75]","[316.25, 163.5]","[223.0, 124.25]","[416.0, 109.5]"
96,352,"[419.25, 390.75]","[221.0, 377.5]","[318.75, 343.25]","[308.5, 280.25]","[427.75, 253.5]","[343.75, 251.5]","[10.25, 251.25]","[217.25, 248.75]","[316.5, 163.5]","[223.25, 125.75]","[415.5, 109.25]"
97,352,"[420.5, 390.25]","[219.5, 377.5]","[319.0, 343.5]","[308.75, 279.25]","[427.0, 252.5]","[11.75, 250.25]","[346.25, 248.5]","[217.0, 249.0]","[316.75, 164.0]","[223.5, 126.0]","[416.0, 108.75]"
98,352,"[420.0, 390.25]","[218.75, 378.5]","[320.0, 341.75]","[309.25, 275.5]","[23.5, 253.25]","[427.0, 252.0]","[355.25, 248.75]","[217.75, 248.5]","[316.75, 164.0]","[223.25, 126.25]","[416.0, 109.5]"
99,352,"[404.5, 403.5]","[208.75, 393.25]","[329.25, 323.5]","[332.5, 278.75]","[430.5, 265.5]","[32.5, 263.5]","[202.75, 256.5]","[370.25, 243.5]","[305.75, 172.0]","[212.75, 122.5]","[404.25, 103.25]"
100,352,"[396.0, 412.5]","[204.5, 404.5]","[330.5, 318.0]","[343.75, 279.5]","[436.0, 275.75]","[194.25, 263.0]","[31.5, 252.25]","[381.5, 241.0]","[298.0, 178.75]","[212.25, 130.5]","[396.0, 96.0]"
101,352,"[389.0, 419.0]","[200.25, 409.5]","[321.25, 317.75]","[441.75, 280.25]","[348.75, 270.75]","[187.25, 258.5]","[29.75, 237.0]","[389.75, 235.0]","[291.75, 175.0]","[230.25, 144.5]","[388.25, 88.25]"
102,352,"[376.75, 423.0]","[192.75, 405.25]","[309.5, 314.75]","[443.0, 280.5]","[347.5, 260.0]","[179.25, 250.25]","[28.75, 233.25]","[397.0, 225.5]","[284.25, 162.5]","[245.0, 151.5]","[379.75, 80.25]"
103,352,"[345.25, 433.5]","[173.25, 398.75]","[278.25, 307.25]","[439.25, 280.5]","[33.75, 242.75]","[360.75, 238.75]","[156.75, 231.75]","[410.25, 210.5]","[409.0, 213.5]","[258.25, 152.5]","[362.75, 85.25]"
104,352,"[344.75, 439.75]","[174.0, 399.75]","[277.25, 307.5]","[450.25, 286.0]","[34.75, 249.5]","[371.25, 237.75]","[156.5, 231.5]","[420.75, 227.75]","[419.75, 231.25]","[257.0, 147.5]","[358.75, 75.0]"
105,352,"[349.5, 445.75]","[182.25, 402.5]","[280.5, 309.25]","[457.75, 292.5]","[37.75, 252.75]","[428.25, 244.5]","[429.75, 248.5]","[381.25, 241.5]","[162.5, 233.0]","[259.0, 145.75]","[359.5, 65.75]"
106,352,"[412.5, 414.5]","[256.75, 407.0]","[365.75, 313.0]","[368.0, 310.25]","[452.25, 274.25]","[495.25, 271.75]","[233.0, 268.5]","[33.0, 261.0]","[324.0, 197.25]","[273.5, 110.5]","[412.5, 54.25]"
107,352,"[413.5, 429.0]","[255.75, 428.0]","[380.75, 297.25]","[251.75, 269.5]","[429.25, 267.0]","[425.25, 266.5]","[53.5, 256.0]","[521.5, 243.75]","[353.75, 209.25]","[263.25, 105.0]","[410.0, 51.5]"
108,352,"[416.25, 444.75]","[259.25, 430.75]","[538.5, 316.25]","[369.75, 300.25]","[251.75, 269.5]","[539.5, 254.5]","[411.75, 252.25]","[65.25, 250.25]","[359.25, 209.75]","[265.75, 98.75]","[412.5, 46.75]"
